Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11","Regional strain value, cardiac phase_12","Regional strain value, cardiac phase_13","Regional strain value, cardiac phase_14"
84,0,0.0361092563798813,0.00210538103916802,0.000197415397900302,-0.066625584071219,-0.0405099153694568,-0.068977711655474,0.00817992287412661,-0.0256749430180492,-0.0833104285567533,-0.0668752741710291,0.017205568552362,0.10116542405077,0.0429356230284659
85,0,0.0274228530479563,-0.00634462463878471,-0.00658736765421086,-0.0701552088081516,-0.0422048786887441,-0.0685226363977127,0.00680863379703989,-0.0252819561317628,-0.0756169086703052,-0.0591288511611702,0.0211419828036215,0.0918934345266613,0.0504866773842219
86,0,0.00474238010209005,-0.0387400848512969,-0.0749346236089325,-0.130613244756713,-0.094272169870054,-0.109766243832798,-0.0297954223369663,-0.0606121082238317,-0.122482661189512,-0.103958416052799,0.0247269690853087,0.108226929649608,0.00727265744767047
87,0,0.0125882200374783,-0.0326001449219501,-0.0595876620017988,-0.130580416639473,-0.0904692131703898,-0.106918061616553,-0.0281337305852539,-0.0564415827765663,-0.128181261084509,-0.110355307688511,0.0132898560305059,0.109968772405201,0.00139847188152498
88,0,0.0365229814667718,0.00435081912313029,-0.0158041123638767,-0.0808999840075871,-0.0622699861588333,-0.0888583318882831,-0.0112618642402893,-0.0462638323667113,-0.110346963110251,-0.0958354350659015,-0.00144775246455775,0.101505516425253,0.0132915673916991
89,0,0.0504456600588119,0.0230526690429051,0.0103644567581804,-0.0549885291653054,-0.0499550561830485,-0.0765337530493633,-0.00800724220139903,-0.0453132063736135,-0.100029644033029,-0.0870298383294035,-0.00953554557057024,0.0961114037439306,0.0190611217426633
90,0,0.0482552343679052,0.0225768581912262,0.00697098921893424,-0.048542899697028,-0.0512343867008433,-0.0758698625365796,-0.0115430009868716,-0.04944724295851,-0.0943646388522241,-0.0806161337658295,-0.00695564873735521,0.0893782420417208,0.0244445657125276
91,0,0.0413990173011709,0.00978146392812684,0.000709162560568855,-0.0603264896424897,-0.0519623537786518,-0.0737155810579692,-0.00851145063914127,-0.0462713329607689,-0.0884109467307662,-0.0727267194803668,0.00585903051866987,0.0891225478352498,0.0327921398922066
92,0,0.0350235757261022,-0.00251449023139294,-0.0053198458359649,-0.0752765533057381,-0.0524587562286939,-0.0720945591425778,-0.00137533210500218,-0.0423717218461134,-0.0835795852160626,-0.0668376766062272,0.00720771380190732,0.084505880001392,0.0420569832664586
93,0,0.034656617326646,0.00147202907774591,0.00357559398235141,-0.0523750077491125,-0.0516335557482259,-0.0719695654129094,-0.0144319711630887,-0.0463564743504375,-0.0831978318553209,-0.0627967094874325,-0.00447097370152805,0.0698893286990256,0.0410126801715194
