Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11","Regional strain value, cardiac phase_12","Regional strain value, cardiac phase_13"
87,0,-0.136303660335803,-0.0698107623900995,-0.158957786380755,-0.183640251720923,-0.222155112036734,-0.279830518293452,-0.125786102606097,-0.167259932031529,-0.129957871227934,0.0112005085394451,-0.00822960252254323,-0.0897114467356901
88,0,-0.151035221454072,-0.0733643616793859,-0.168602713457592,-0.189408216536452,-0.221537051180787,-0.274718468009853,-0.107739288693412,-0.177913957097315,-0.125544512862553,0.000586105265325765,-0.0205881295892489,-0.101187122970217
89,0,-0.153821966504271,-0.0588198542090256,-0.17528247575488,-0.195547715738101,-0.243121565525346,-0.272732203583844,-0.124176541990184,-0.213003798861809,-0.129176132774776,-0.0165475271013958,-0.0397796735896727,-0.123844060613369
90,0,-0.0530557991418565,-0.06265199831157,-0.124058397128432,-0.169594220728166,-0.24300986696639,-0.311547156368034,-0.280877218092747,-0.192098792048155,-0.078362230217955,-0.0287253346157277,-0.064659654418572,-0.0457315878167872
91,0,-0.0528607147059932,-0.0860429822370837,-0.138798083770816,-0.179136022540282,-0.274230344094675,-0.321447277475392,-0.298018185134297,-0.227104221534401,-0.0802986342062295,-0.0707407264615191,-0.111194299009156,-0.0542172373500825
92,0,-0.0442644238292322,-0.0803749971362097,-0.143072753476515,-0.170816283797378,-0.261291639676947,-0.325927735558633,-0.293315421811964,-0.227547829615253,-0.0881606923431878,-0.0593966678050044,-0.0979657303414314,-0.059555829347991
93,0,-0.0652137828930072,-0.0547615668927957,-0.117210741295384,-0.172567128903388,-0.256228780723648,-0.314053632439697,-0.297338977401647,-0.191995290801119,-0.0929886977509059,-0.0389093101310739,-0.0680154151657023,-0.0511705561071319
94,0,-0.0698288661555723,-0.0870435928966425,-0.13499967987894,-0.188760527792267,-0.278617948526247,-0.30450395572195,-0.293663890289236,-0.197384615882194,-0.084004819990055,-0.0828657194831419,-0.121316116807175,-0.0530823740098283
95,0,-0.0711645294783908,-0.055698459411486,-0.137530681787347,-0.184476056914071,-0.25077023449812,-0.288299230165188,-0.26413383369129,-0.170706546120055,-0.107879875017558,-0.0557954561766245,-0.0853495277416201,-0.0511117289100288
96,0,-0.0605814257801932,-0.0669470226197534,-0.138004538439085,-0.187917675785677,-0.251515362001383,-0.285247164586658,-0.25076931231142,-0.166893622917067,-0.0820554319539,-0.0495055348758942,-0.0877127740716048,-0.0349464814922387
97,0,-0.0646549866159027,-0.0487981124690104,-0.129367774253495,-0.193581615663651,-0.242091827221684,-0.280352716768841,-0.243731821639332,-0.167172254186215,-0.103339275982172,-0.068002886224502,-0.0902738961027014,-0.0481742384054417
98,0,-0.0575568830675652,-0.0631109594675936,-0.131465265615606,-0.163003064707637,-0.247087754829989,-0.315169093976505,-0.294842217782252,-0.192024236973585,-0.0991399486659468,-0.0349061160332279,-0.0665257291537287,-0.0600373639736905
99,0,-0.0421800059244197,-0.0799152807043781,-0.153598117060577,-0.162380110000168,-0.260405600886746,-0.322189335080588,-0.295542594747329,-0.207847655781663,-0.113203271834107,-0.0536551293117242,-0.0897733165222817,-0.0676431534486618
100,0,-0.06777602569715,-0.0389089323100528,-0.110627074769105,-0.19056095335877,-0.232959013654406,-0.283605328892455,-0.243597186092476,-0.175247841379566,-0.102021539382583,-0.0706157660008945,-0.0841434799405306,-0.0589893582449611
101,0,-0.0765203258505569,-0.041275522679476,-0.138822097729482,-0.202846154961102,-0.237232129332755,-0.268740697699505,-0.226046139003132,-0.165564012636001,-0.11820011414474,-0.0892749128377694,-0.102859813846697,-0.0619091811242044
102,0,-0.0668524585457545,-0.0458697068086179,-0.141972275672185,-0.205831438618969,-0.243439009049832,-0.271858753480587,-0.222145919362686,-0.163744581485621,-0.105164810354065,-0.0850971669391666,-0.101944889176602,-0.046296985853209
103,0,-0.0716145842168751,-0.0387532007832549,-0.133166490024717,-0.208949415412039,-0.224739814374212,-0.257360500061788,-0.205447967857488,-0.16068440240835,-0.117734119549624,-0.105326601339028,-0.110632424095527,-0.0638979054342037
104,0,-0.0602000276893849,-0.0648321323709379,-0.138240171729944,-0.156348740478585,-0.249482138710852,-0.316832797075908,-0.308428447662938,-0.191449163284535,-0.120956056283032,-0.0422072438633697,-0.0688289479139356,-0.0758800840806686
105,0,-0.0222803473417,-0.0687639616824939,-0.150934106418781,-0.148086106300221,-0.21213197676683,-0.25988532928238,-0.234799683665585,-0.130278909314039,-0.112883927153194,-0.0281342447306663,-0.0585664699830107,-0.0500748983356644
106,0,-0.0722605143178158,-0.0151300991903145,-0.123246271910372,-0.190183987569858,-0.221484030919138,-0.27090874871254,-0.214099186200766,-0.172783904446928,-0.117370048537435,-0.0724457140198401,-0.0774054987245429,-0.0626538170851579
107,0,-0.0759378686975747,-0.0254052443826425,-0.110298387205379,-0.19821926596402,-0.208091404153066,-0.256667601959717,-0.19631296301444,-0.164288471447909,-0.115491320482164,-0.0935843235947316,-0.0938461329884835,-0.0745075228532048
108,0,-0.0875181532691058,-0.0350354761679246,-0.14666345473129,-0.218067428115439,-0.222450686195237,-0.248247358120846,-0.191204052690681,-0.164436917621365,-0.131663622207589,-0.126359319277647,-0.125846515638503,-0.0813415649654462
109,0,-0.0753374766651909,-0.039171526841881,-0.149622447456338,-0.219814279967712,-0.226326639240048,-0.250117748482013,-0.187775987315501,-0.161121259000244,-0.121469361212572,-0.125109909973356,-0.124285350715269,-0.0657048080034225
110,0,-0.0919864460087638,-0.0385342987807926,-0.169584648806084,-0.228927220402348,-0.225304183527971,-0.240488488659209,-0.177829418017139,-0.165859701836812,-0.141275070752062,-0.150841889730304,-0.144329081725193,-0.0859313206641883
111,0,-0.057909356617182,-0.0390024848995203,-0.131113766584566,-0.152040429603334,-0.233379245039393,-0.306514620961901,-0.28068248983516,-0.152273906207461,-0.100604012875397,0.00875929002767828,-0.0129522216993264,-0.0477577667408761
112,0,-0.0211907972538636,-0.0518970264123242,-0.138024992816198,-0.14101001326335,-0.179339853179501,-0.222758882182404,-0.201409963708912,-0.0861774870939095,-0.0998813996153615,-0.0142745924880237,-0.0378334408566221,-0.036639033001856
